Country,Code,Year,PISA,Government effectiveness index (-2.5 weak; 2.5 strong),Political stability index (-2.5 weak; 2.5 strong),"Corruption Perceptions Index, 100 = no corruption","Political rights index, 7 (weak) - 1 (strong)","Civil liberties index, 7 (weak) - 1 (strong) ","Women in parliament, percent","Expropriation risk, (1=low, 7=high)","Happiness Index, 0 (unhappy) - 10 (happy)",Human Development Index (0 - 1),Percent urban population
Albania,ALB,2015,413,-1.05566,0.0448827,-1.17616,0.447321,0.505935,-0.290901,0.718418,-1.31639,-0.888297,-1.19652
Algeria,DZA,2015,360,-1.71159,-1.76479,-1.17616,2.13819,1.80691,0.76604,2.11105,-0.614576,-1.2516,-0.290587
Argentina,ARG,2015,456,-1.15855,-0.382401,-1.38284,-0.116303,-0.144553,3.44E-16,3.50367,0.421943,-0.26933,1.10341
Australia,AUS,2015,494,0.937864,0.710943,1.04575,-0.679928,-0.795041,0.290901,-0.674208,1.18853,1.26463,0.711879
Austria,AUT,2015,497,0.834973,1.03769,0.890729,-0.679928,-0.795041,0.669073,-0.674208,1.10216,0.820591,-1.17694
Belgium,BEL,2015,507,0.783527,0.346495,0.942401,-0.679928,-0.795041,1.51269,-0.674208,0.821434,0.955149,1.5341
Brazil,BRA,2015,377,-1.30003,-0.809685,-1.07281,-0.116303,-0.144553,-1.33815,0.718418,0.864623,-1.14396,0.716604
Bulgaria,BGR,2015,441,-0.79843,-0.369834,-0.917795,-0.116303,-0.144553,-0.319991,-0.674208,-2.11537,-0.471167,-0.0786178
Canada,CAN,2015,516,1.19509,1.20106,1.25243,-0.679928,-0.795041,0.223024,-0.674208,1.35049,1.04934,0.412152
Chile,CHL,2015,423,0.333377,0.14542,0.580696,-0.679928,-0.795041,-0.76604,-0.674208,0.529913,-0.0271252,0.823939
China,CHN,2015,531,-0.541201,-1.08616,-1.12448,2.70182,2.4574,-0.00969671,2.11105,-1.12204,-1.33234,-1.32681
Colombia,COL,2015,390,-1.11997,-1.73966,-1.12448,0.447321,1.15642,-0.368475,0.0221052,0.324769,-1.3458,0.310892
Croatia,HRV,2015,464,-0.412587,0.346495,-0.401074,-0.679928,-0.144553,-0.82422,-0.674208,-0.45262,-0.202051,-1.28293
Cyprus,CYP,2015,437,0.281931,0.296226,0.115647,-0.679928,-0.795041,-1.08603,-0.674208,-0.5282,0.241991,-0.553861
Czech Republic,CZE,2015,492,0.281931,0.836614,-0.142713,-0.679928,-0.795041,-0.358778,-0.674208,0.35716,0.538019,-0.113046
Denmark,DNK,2015,511,1.31085,0.736077,1.66581,-0.679928,-0.795041,1.32845,-0.674208,1.45846,1.13007,0.835415
Dominican Republic,DOM,2015,328,-1.53153,-0.0933561,-1.33117,0.447321,0.505935,-0.281205,0.0221052,-1.39197,-1.52072,0.23056
Estonia,EST,2015,520,0.307654,0.384196,0.580696,-0.679928,-0.795041,0.00969671,-0.674208,-0.808923,0.322726,-0.454627
